raw_received_timestamp_ms,feature_extraction_timestamp_ms,model_prediction_timestamp_ms,pair_seq,predicted_activity,risk_status,alert_triggered,risky_counter,sensor1_neutral_ax,sensor1_neutral_ay,sensor1_neutral_az,sensor2_neutral_ax,sensor2_neutral_ay,sensor2_neutral_az
59444,59444,59445,1974,sitting,Safe,No,0,,,,,,
59961,59961,59962,1986,sitting,Safe,No,0,,,,,,
60208,60209,60209,1998,sitting,Safe,No,0,,,,,,
60591,60591,60592,2010,sitting,Safe,No,0,,,,,,
61019,61019,61019,2022,sitting,Safe,No,0,,,,,,
61255,61255,61256,2034,sitting,Safe,No,0,,,,,,
61851,61851,61852,2046,sitting,Safe,No,0,,,,,,
62087,62088,62088,2058,sitting,Safe,No,0,,,,,,
62414,62414,62414,2070,sitting,Safe,No,0,,,,,,
63280,63280,63280,2082,sitting,Safe,No,0,,,,,,
63628,63629,63629,2094,sitting,Safe,No,0,,,,,,
64135,64135,64136,2106,sitting,Safe,No,0,,,,,,
64439,64439,64440,2118,sitting,Safe,No,0,,,,,,
64843,64844,64844,2130,sitting,Safe,No,0,,,,,,
65710,65710,65711,2142,sitting,Safe,No,0,,,,,,
66407,66407,66408,2154,sitting,Safe,No,0,,,,,,
67150,67150,67151,2166,sitting,Safe,No,0,,,,,,
67577,67577,67578,2178,sitting,Safe,No,0,,,,,,
67971,67971,67972,2190,sitting,Safe,No,0,,,,,,
68905,68905,68906,2202,sitting,Safe,No,0,,,,,,
69411,69411,69412,2214,sitting,Safe,No,0,,,,,,
69940,69940,69940,2226,sitting,Safe,No,0,,,,,,
70244,70244,70245,2238,sitting,Safe,No,0,,,,,,
70536,70536,70537,2250,sitting,Safe,No,0,,,,,,
71784,71785,71785,2262,sitting,Safe,No,0,,,,,,
72167,72167,72168,2274,sitting,Safe,No,0,,,,,,
72617,72617,72618,2286,sitting,Safe,No,0,,,,,,
73044,73045,73045,2298,sitting,Safe,No,0,,,,,,
73472,73472,73473,2310,sitting,Safe,No,0,,,,,,
74237,74237,74238,2322,sitting,Safe,No,0,,,,,,
74665,74665,74665,2334,sitting,Safe,No,0,,,,,,
75272,75272,75273,2346,sitting,Safe,No,0,,,,,,
75643,75644,75644,2358,sitting,Safe,No,0,,,,,,
75913,75914,75914,2370,sitting,Safe,No,0,,,,,,
76318,76318,76319,2382,sitting,Safe,No,0,,,,,,
76476,76476,76477,2394,sitting,Safe,No,0,,,,,,
76779,76780,76780,2406,sitting,Safe,No,0,,,,,,
76937,76937,76938,2418,sitting,Safe,No,0,,,,,,
77106,77106,77107,2430,sitting,Safe,No,0,,,,,,
77398,77398,77399,2442,sitting,Safe,No,0,,,,,,
77567,77567,77568,2454,sitting,Safe,No,0,,,,,,
77803,77803,77804,2466,sitting,Safe,No,0,,,,,,
77995,77995,77995,2478,sitting,Safe,No,0,,,,,,
78197,78197,78198,2490,sitting,Safe,No,0,,,,,,
78501,78501,78502,2502,sitting,Safe,No,0,,,,,,
78737,78737,78738,2514,sitting,Safe,No,0,,,,,,
78996,78996,78997,2526,sitting,Safe,No,0,,,,,,
79198,79198,79199,2538,sitting,Safe,No,0,,,,,,
